Year,Month,Rainfall
2001.0,6.0,386.0
2001.0,7.0,202.0
2001.0,8.0,205.0
2001.0,9.0,209.0
2001.0,10.0,177.0
2001.0,11.0,18.0
2001.0,12.0,0.0
2002.0,1.0,22.0
2002.0,2.0,4.0
2002.0,3.0,51.0
2002.0,4.0,111.0
2002.0,5.0,272.0
2002.0,6.0,373.0
2002.0,7.0,446.0
2002.0,8.0,272.0
2002.0,9.0,156.0
2002.0,10.0,52.0
2002.0,11.0,36.0
2002.0,12.0,0.0
2003.0,1.0,0.0
2003.0,2.0,25.0
2003.0,3.0,96.0
2003.0,4.0,123.0
2003.0,5.0,140.0
2003.0,6.0,473.0
2003.0,7.0,191.0
2003.0,8.0,202.0
2003.0,9.0,264.0
2003.0,10.0,134.0
2003.0,11.0,0.0
2003.0,12.0,45.0
2004.0,1.0,0.0
2004.0,2.0,0.0
2004.0,3.0,9.0
2004.0,4.0,167.0
2004.0,5.0,162.0
2004.0,6.0,476.0
2004.0,7.0,295.0
2004.0,8.0,191.0
2004.0,9.0,839.0
2004.0,10.0,208.0
2004.0,11.0,0.0
2004.0,12.0,0.0
2005.0,1.0,1.0
2005.0,2.0,3.0
2005.0,3.0,155.0
2005.0,4.0,91.0
2005.0,5.0,291.0
2005.0,6.0,259.0
2005.0,7.0,542.0
2005.0,8.0,361.0
2005.0,9.0,514.0
2005.0,10.0,417.0
2005.0,11.0,3.0
2005.0,12.0,0.0
2006.0,1.0,0.0
2006.0,2.0,0.0
2006.0,3.0,0.0
2006.0,4.0,181.0
2006.0,5.0,185.0
2006.0,6.0,326.0
2006.0,7.0,331.0
2006.0,8.0,167.0
2006.0,9.0,663.0
2006.0,10.0,61.0
2006.0,11.0,5.0
2006.0,12.0,0.0
2007.0,1.0,0.0
2007.0,2.0,30.0
2007.0,3.0,11.0
2007.0,4.0,163.0
2007.0,5.0,185.0
2007.0,6.0,628.0
2007.0,7.0,753.0
2007.0,8.0,505.0
2007.0,9.0,179.0
2007.0,10.0,320.0
2007.0,11.0,111.0
2007.0,12.0,0.0
2008.0,1.0,23.0
2008.0,2.0,56.0
2008.0,3.0,45.0
2008.0,4.0,91.0
2008.0,5.0,205.0
2008.0,6.0,409.0
2008.0,7.0,563.0
2008.0,8.0,319.0
2008.0,9.0,279.0
2008.0,10.0,227.0
2008.0,11.0,0.0
2008.0,12.0,0.0
2009.0,1.0,1.0
2009.0,2.0,1.0
2009.0,3.0,43.0
2009.0,4.0,14.0
2009.0,5.0,168.0
2009.0,6.0,170.0
2009.0,7.0,676.0
2009.0,8.0,482.0
2009.0,9.0,298.0
2009.0,10.0,74.0
2009.0,11.0,4.0
2009.0,12.0,0.0
2010.0,1.0,0.0
2010.0,2.0,48.0
2010.0,3.0,22.0
2010.0,4.0,37.0
2010.0,5.0,177.0
2010.0,6.0,308.0
2010.0,7.0,167.0
2010.0,8.0,340.0
2010.0,9.0,169.0
2010.0,10.0,174.0
2010.0,11.0,0.0
2010.0,12.0,81.0
2011.0,1.0,0.0
2011.0,2.0,0.0
2011.0,3.0,20.0
2011.0,4.0,123.0
2011.0,5.0,235.0
2011.0,6.0,314.0
2011.0,7.0,356.0
2011.0,8.0,409.0
2011.0,9.0,207.0
2011.0,10.0,112.0
2011.0,11.0,0.0
2011.0,12.0,0.0
2012.0,1.0,10.0
2012.0,2.0,1.0
2012.0,3.0,37.0
2012.0,4.0,269.0
2012.0,5.0,137.0
2012.0,6.0,175.0
2012.0,7.0,226.0
2012.0,8.0,282.0
2012.0,9.0,81.0
2012.0,10.0,38.0
2012.0,11.0,68.0
2012.0,12.0,5.0
2013.0,1.0,0.0
2013.0,2.0,8.0
2013.0,3.0,26.0
2013.0,4.0,32.0
2013.0,5.0,378.0
2013.0,6.0,325.0
2013.0,7.0,302.0
2013.0,8.0,212.0
2013.0,9.0,138.0
2013.0,10.0,131.0
2013.0,11.0,0.0
2013.0,12.0,4.0
2014.0,1.0,0.0
2014.0,2.0,12.0
2014.0,3.0,10.0
2014.0,4.0,80.0
2014.0,5.0,147.0
2014.0,6.0,342.0
2014.0,7.0,212.0
2014.0,8.0,391.0
2014.0,9.0,156.0
2014.0,10.0,49.0
2014.0,11.0,0.0
2014.0,12.0,0.0
2015.0,1.0,3.0
2015.0,2.0,17.0
2015.0,3.0,4.0
2015.0,4.0,166.0
2015.0,5.0,185.0
2015.0,6.0,375.0
2015.0,7.0,623.0
2015.0,8.0,395.0
2015.0,9.0,346.0
2015.0,10.0,51.0
2015.0,11.0,0.0
2015.0,12.0,1.0
2016.0,1.0,3.0
2016.0,2.0,13.0
2016.0,3.0,55.0
2016.0,4.0,55.0
2016.0,5.0,212.0
2016.0,6.0,212.0
2016.0,7.0,405.0
2016.0,8.0,171.0
2016.0,9.0,138.0
2016.0,10.0,76.0
2016.0,11.0,25.0
2016.0,12.0,0.0
